rank,brand,domain,models,verdict,vendor,network,programme_url,platform,evidence,applied,status
95,Troubadour,troubadourgoods.com,0,unreachable,,,,unknown,homepage 308,,
96,Dakine,dakine.com,597,none-found,,,,shopify,,,
97,Db Journey,dbjourney.com,364,none-found,,,,shopify,,,
98,Vaude,www.vaude.com,292,none-found,,,,unknown,,,
99,Tatonka,www.tatonka.com,242,none-found,,,,woocommerce,,,
100,BÉIS,beistravel.com,221,none-found,,,,shopify,,,
101,SwissGear,swissgear.com,206,none-found,,,,shopify,,,
102,Mismo,mismo.dk,190,none-found,,,,shopify,,,
103,Deuter,www.deuter.com,187,none-found,,,,unknown,,,
104,Away,awaytravel.com,184,none-found,,,,shopify,,,
105,Tomtoc,tomtoc.com,173,none-found,,,,shopify,,,
106,Bellroy,bellroy.com,148,none-found,,,,unknown,,,
107,Forclaz,decathlon.com,147,none-found,,,,shopify,,,
108,Portland Gear,portlandgear.com,143,none-found,,,,shopify,,,
109,Eagle Creek,eaglecreek.com,109,none-found,,,,shopify,,,
110,DEFY,defybags.com,108,none-found,,,,shopify,,,
111,Tropicfeel,shop.tropicfeel.com,98,none-found,,,,shopify,,,
112,Côte&Ciel,coteetciel.com,80,none-found,,,,shopify,,,
113,Snow Peak,snowpeak.com,79,none-found,,,,shopify,,,
114,WaterField Designs,sfbags.com,77,none-found,,,,shopify,,,
115,Thule,www.thule.com,74,none-found,,,,unknown,,,
116,JanSport,jansport.com,71,none-found,,,,shopify,,,
117,Filson,filson.com,71,none-found,,,,shopify,,,
118,Property Of,thepropertyof.com,68,none-found,,,,shopify,,,
119,Rab,rab.equipment,65,none-found,,,,unknown,,,
120,Red Oxx,redoxx.com,56,none-found,,,,shopify,,,
121,Nomatic,nomatic.com,55,none-found,,,,shopify,,,
122,LiteAF,liteaf.com,54,none-found,,,,woocommerce,,,
123,FHF Gear,fhfgear.com,48,none-found,,,,shopify,,,
124,Baboon to the Moon,baboontothemoon.com,45,none-found,,,,shopify,,,
125,WANDRD,wandrd.com,43,none-found,,,,shopify,,,
126,RAWROW,rawrow.com,43,none-found,,,,shopify,,,
127,Monos,monos.com,42,none-found,,,,shopify,,,
128,Incase,incase.com,42,none-found,,,,shopify,,,
129,Alchemy Equipment,alchemy-equipment.com,40,none-found,,,,shopify,,,
130,Boundary Supply,boundarysupply.com,32,none-found,,,,shopify,,,
131,Stubble & Co,stubbleandco.com,30,none-found,,,,shopify,,,
132,Stubble & Co,stubbleandco.com,30,none-found,,,,shopify,,,
133,Solgaard,solgaard.co,25,none-found,,,,shopify,,,
134,YNOT,ynotmade.com,25,none-found,,,,shopify,,,
135,Wave,waveproducts.com,24,none-found,,,,shopify,,,
136,Bonfus,bonfus.com,21,none-found,,,,woocommerce,,,
137,Alpha One-Niner,alphaoneniner.com,19,none-found,,,,shopify,,,
138,Ecohub,ecohubtravel.com,17,none-found,,,,shopify,,,
139,Alpine Sea,alpinesea.com,17,none-found,,,,shopify,,,
140,CamelBak,www.camelbak.com,16,none-found,,,,unknown,,,
141,Stio,stio.com,13,none-found,,,,shopify,,,
142,Tobiq,tobiq.com,11,none-found,,,,shopify,,,
143,Bedouin Foundry,bedouinfoundry.com,7,none-found,,,,shopify,,,
144,Kathmandu,kathmanduoutdoor.com,6,none-found,,,,shopify,,,
145,Piorama,piorama.co,5,none-found,,,,shopify,,,
146,Fyro,fyro.co,4,none-found,,,,shopify,,,
147,Almond Oak,almondoak.com,3,none-found,,,,shopify,,,
148,5.11 Tactical,511tactical.com,1,none-found,,,,unknown,,,
149,Baggu,baggu.com,0,none-found,,,,shopify,,,
150,eBags,ebagsbrand.com,0,none-found,,,,woocommerce,,,
151,Samsonite,shop.samsonite.com,0,none-found,,,,unknown,,,
152,CampSaver,www.campsaver.com,0,none-found,,,,unknown,,,
153,Arc'teryx,arcteryx.com,0,none-found,,,,unknown,,,
154,Exped,exped.com,0,none-found,,,,unknown,,,
155,Fredrik Packers,fredrikpackers.com,0,none-found,,,,unknown,,,
156,Hanchor,hanchor.com,0,none-found,,,,unknown,,,
157,Hill People Gear,hillpeoplegear.com,0,none-found,,,,unknown,,,
158,Homiee,homieebackpack.com,0,none-found,,,,woocommerce,,,
159,Ikea,ikea.com,0,none-found,,,,unknown,,,
160,L.L.Bean,llbean.com,0,none-found,,,,unknown,,,
161,Mixed Works,mixedworks.com,0,none-found,,,,unknown,,,
162,Nike,nike.com,0,none-found,,,,unknown,,,
163,Packolab,packolab.com,0,none-found,,,,unknown,,,
164,Porter,ll-porter.com,0,none-found,,,,unknown,,,
165,Uniqlo,uniqlo.com,0,none-found,,,,unknown,,,
166,Yeti,yeti.com,0,none-found,,,,unknown,,,
167,CamelBak,camelbak.com,0,none-found,,,,unknown,,,
168,Deuter,deuter.com,0,none-found,,,,unknown,,,
169,Ortlieb,ortlieb.com,0,none-found,,,,shopify,,,
170,Tatonka,tatonka.com,0,none-found,,,,woocommerce,,,
171,Thule,thule.com,0,none-found,,,,unknown,,,
172,Vaude,vaude.com,0,none-found,,,,unknown,,,
